"masked_pin","period","tax_type","total_turnover","total_operating_expense","total_administrative_expenses","total_financial_expenses","total_other_expenses","gross_tax"
b2057dacc94c120f835d1ab7c8ffb45aed3080398482850f41aeeb0939499425,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"7e3ae246080020eece71027b45e3affeffa172eee789d606e7cc7196c56232ef","2024",Income Tax - Resident Individual,2908840.00,667680.00,80000.00,200000.00,0.00,2255.00
"17012fa29ffe6d73cec4fdfed8a6e490b3b3ca29f11cbbb910e0dc91f9a9bb95","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,54240.00
d956662c926c84105cbbf7d6bb2fff55c4ae50a2fed63b31ee83b2c85165e656,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,404665.00
a8865ba648213ab548b9a2b24e5ce5f1cb0bbc3466b819c2cd6d6e02bfb47990,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,7758.00
"001230d905022126e9a6933f9c79871a573b65f5bfceb1d82092dceb915088f3","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"000d57cf288a7c145f359d7260ceeb7fdaf753627fcd6db708b6c21d3f957f61","2023",Income Tax - Resident Individual,32400.00,24520.00,2800.00,0.00,0.00,172964.00
d51ca6fd4361d7749569df355098f1703384654af136884fcc6f80bf78193528,"2023",Income Tax - Company,9465622.00,2046599.00,5801617.00,23103.00,1768594.00,0.00
"32bfd3dc6dbcf9b1cce9467136f1132a39f15b82acac156e362d5633df83162a","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,131809.00
"8889bb073c526b616f7ee6038b1565a0bb988f94ae957bb3a569631b6c8b415b","2024",Income Tax - Resident Individual,39560.00,33400.00,0.00,0.00,0.00,180366.00
c6baad06579e5c25f17408d69a732830f7ab020c8e05a6a4589d66fff12dd2cf,"2023",Income Tax - Company,7349343.00,784613.00,0.00,23910.00,4278961.00,773847.60
da67597b8beaa8c8be7944771c419932b7d0f72696c507ee96e060bcc42daefe,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,48075.00
"2b59b80c1fea861b6e57536a8f935033ea8c5890cf8f37e5470a68c000001335","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"69028ffac4a280cc79aecf06f632b819f768d9fe3c30c481e4d579274007eee1","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
d775f4751cbada6a98edce5796125712cc6bd0cd881e352f3de7224d009447ce,"2023",Income Tax - Resident Individual,2000.00,0.00,0.00,0.00,0.00,0.00
